Table 1,,,,,,,,,,,
"Value of support by type of support, program stream and year 1, 2 (All federal departments and agencies)",,,,,,,,,,,
,,,,,,,,,,,
Type of support and program stream,Year of funding/support/award,,,,,,,,,,
,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,"2007-2016
(Total value of support by type of support and program stream)"
WESTERN DIVERSIFICATION PROGRAM,"6,130,373","12,233,768","25,833,250","18,129,329","33,326,265","35,534,177","37,153,981","28,549,929","37,202,726","24,100,280","258,194,078"
YOUTH EMPLOYMENT STRATEGY - GREEN JOBS – SCIENCE AND TECHNOLOGY INTERNSHIP PROGRAM,...,...,...,...,...,...,...,...,...,"1,021,723","1,021,723"
Subtotal value of support  (NON REPAYABLE CONTRIBUTION),"182,999,698","183,290,953","359,715,190","376,348,408","282,561,866","430,457,199","477,769,089","482,311,177","574,754,962","623,287,411","3,973,495,952"
,,,,,,,,,,,
CONDITIONAL REPAYABLE CONTRIBUTION ,,,,,,,,,,,
2.1.1.4 INNOVATION MANAGEMENT,"291,660",...,...,...,...,...,...,...,...,...,"291,660"
2.1.2.1 PRE-STARTUP AND STARTUP OF INNOVATIVE ENTERPRISES,X,...,X,...,...,...,...,...,...,...,X
ATLANTIC INNOVATION FUND,"19,999,742","23,026,459","27,363,820","21,809,054","19,756,219","21,525,044","20,001,505","18,428,718","16,594,714","15,170,526","203,675,801"
BUSINESS DEVELOPMENT PROGRAM,X,"6,692,178","6,808,896","5,252,685","6,705,185",X,"6,522,923","6,332,720","9,390,389","10,172,167","71,247,233"
CANADA MEDIA FUND,...,...,...,"2,289,984","5,856,085",X,"5,204,004",X,"5,182,907","6,294,051","33,577,308"
COMMERCIALIZATION AND EXPORTS,...,...,...,...,...,...,...,...,...,X,X
INNOVATION AND TECHNOLOGY TRANSFERS,X,X,X,"713,847",X,X,X,...,...,...,"6,056,064"
NEW BUSINESS DEVELOPMENT AND STARTUPS,...,...,...,...,...,...,...,...,X,X,X
NODP - INNOVATION,...,...,...,...,X,X,X,X,X,...,X
STRATEGIC AEROSPACE AND DEFENCE INITIATIVE,...,X,X,"50,323,255","99,745,579","131,860,945","128,358,504","85,245,174","55,178,280","76,844,281","680,489,710"
Subtotal value of support (CONDITIONAL REPAYABLE CONTRIBUTION),"28,474,690","55,029,104","63,974,697","80,388,825","132,584,342","164,452,820","160,759,718","115,821,325","86,522,606","108,630,535","996,638,660"
,,,,,,,,,,,
REPAYABLE CONTRIBUTION ,,,,,,,,,,,
2.1.1.4 INNOVATION MANAGEMENT,"344,690","204,236",X,X,...,...,...,...,...,...,"726,290"
2.1.2.1 PRE-STARTUP AND STARTUP OF INNOVATIVE ENTERPRISES,X,X,X,...,...,...,...,...,...,...,X
ADVANCED MANUFACTURING FUND,...,...,...,...,...,...,...,X,X,"37,535,000","71,899,742"
ATLANTIC INNOVATION FUND,X,X,X,X,X,...,...,...,...,...,X
AUTOMOTIVE INNOVATION FUND,...,X,X,X,"57,869,448","48,247,265",X,X,X,X,"340,239,201"
BUSINESS DEVELOPMENT PROGRAM,"19,572,676","31,185,124","33,890,637","35,796,109","31,371,221","31,070,278","35,250,001","30,515,179","26,401,183","42,248,105","317,300,512"
CANADA MEDIA FUND,...,"1,944,916","9,517,907","22,834,239","26,478,885","29,796,400","28,528,286","32,663,250","36,491,388","35,420,977","223,676,248"
CLEAN ENERGY FUND,...,...,...,"29,986,605","102,944,929","88,746,498","26,469,464","9,602,040","6,593,300",...,"264,342,836"
COMMERCIALIZATION AND EXPORTS,...,...,...,...,X,X,"526,083","982,948","1,143,643","2,883,260","5,955,227"
ENABLING COMMERCIALIZATION AND ADOPTION,...,...,...,...,...,...,"49,830,422","64,752,760","49,455,928","44,427,080","208,466,190"
ENERGY INNOVATION PROGRAM (ECOENERGY INNOVATION INITIATIVE),...,...,...,...,...,"9,908,858","13,701,281","13,496,504",X,X,"41,408,214"
INNOVATION AND TECHNOLOGY TRANSFERS,"6,367,824","4,195,543","9,581,971","6,488,563","4,330,190","6,851,876","7,973,459","5,444,417","6,178,080","8,006,947","65,418,870"
INVESTING IN BUSINESS GROWTH AND PRODUCTIVITY,...,...,...,...,...,...,...,"13,664,515","30,667,381","28,295,892","72,627,788"
INVESTING IN BUSINESS INNOVATION,...,...,...,...,...,...,...,"8,969,002","15,171,520","6,033,299","30,173,821"
NEW BUSINESS DEVELOPMENT AND STARTUPS,...,...,...,...,...,X,X,X,"673,592","4,642,889","6,189,988"
NODP - BUSINESS GROWTH AND COMPETITIVENESS PRIORITY,...,...,...,...,X,...,X,...,...,...,X
NODP - INNOVATION,...,...,...,...,X,"421,881",X,"3,557,225","4,569,776","1,569,780","10,560,017"
OIL SPILL RESPONSE SCIENCE,...,...,...,...,...,...,...,...,...,X,X
PRODUCTIVITY AND EXPANSION,...,...,...,...,...,...,...,X,X,"21,781,644","24,579,352"
STRATEGIC AEROSPACE AND DEFENCE INITIATIVE,X,X,X,"62,167,183","63,172,028","61,451,187","53,063,542","60,876,151","65,808,154","68,899,514","486,305,979"
WESTERN INNOVATION (WINN) INITIATIVE,...,...,...,...,...,...,...,"4,448,148","15,522,104","21,927,089","41,897,341"
Subtotal value of support (REPAYABLE CONTRIBUTION),"37,936,322","52,044,465","101,563,618","166,831,672","286,526,566","277,146,158","267,555,436","308,742,260","388,266,322","331,539,935","2,218,152,753"
,,,,,,,,,,,
GOVERNMENT PERFORMED SERVICES ,,,,,,,,,,,
AEROSPACE,...,...,...,...,...,...,...,...,...,...,...
AQUATIC AND CROP RESOURCE DEVELOPMENT,...,...,...,...,...,...,...,...,...,...,...
AUTOMOTIVE AND SURFACE TRANSPORTATION,...,...,...,...,...,...,...,...,...,...,...
BUILD IN CANADA INNOVATION PROGRAM,...,...,...,...,X,"3,339,905","552,315","737,371",X,X,"8,264,351"
BUSINESS INNOVATION ACCESS PROGRAM,...,...,...,...,...,...,...,...,...,...,...
CANADIAN ACCELERATOR AND INCUBATOR PROGRAM,...,...,...,...,...,...,...,...,...,...,...
CANADIAN HIV TECHNOLOGY DEVELOPMENT PROGRAM,...,...,...,...,...,...,...,...,...,...,...
CANADIAN TECHNOLOGY ACCELERATORS,...,...,...,...,...,...,...,...,...,...,...
COMMERCIALIZATION AND EXPORTS,...,...,...,...,...,...,...,...,...,...,...
CONCIERGE,...,...,...,...,...,...,...,...,...,...,...
CONSTRUCTION,...,...,...,...,...,...,...,...,...,...,...
"ENERGY, MINING AND ENVIRONMENT",...,...,...,...,...,...,...,...,...,...,...
HUMAN HEALTH THERAPEUTICS,...,...,...,...,...,...,...,...,...,...,...
INFORMATION & COMMUNICATION TECHNOLOGIES,...,...,...,...,...,...,...,...,...,...,...
INNOVATION AND TECHNOLOGY TRANSFERS,...,...,...,...,...,...,...,...,...,...,...
INVESTING IN COMMERCIALIZATION PARTNERSHIPS,...,...,...,...,...,...,...,"67,746","93,357",...,"161,103"
IRAP - CONTRIBUTION TO FIRMS,...,...,...,...,...,...,...,...,...,...,...
IRAP - CONTRIBUTION TO FIRMS (CAF),...,...,...,...,...,...,...,...,...,...,...
IRAP - CONTRIBUTION TO FIRMS (DTAPP),...,...,...,...,...,...,...,...,...,...,...
IRAP - CONTRIBUTION TO FIRMS (SODP),...,...,...,...,...,...,...,...,...,...,...
IRAP - CONTRIBUTION TO ORGANIZATIONS,...,...,...,...,...,...,...,...,...,...,...
IRAP - YOUTH EMPLOYMENT PROGRAM,...,...,...,...,...,...,...,...,...,...,...
IRAP - YOUTH EMPLOYMENT PROGRAM GREEN,...,...,...,...,...,...,...,...,...,...,...
